image,label
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000021.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000021.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000022.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000022.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000023.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000023.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000024.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000024.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000025.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000025.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000026.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000026.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000027.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000027.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000028.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000028.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000029.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000029.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000030.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000030.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000031.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000031.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000032.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000032.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000033.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000033.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000034.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000034.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000035.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000035.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000036.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000036.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000037.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000037.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000038.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000038.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000039.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000039.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000040.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000040.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000041.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000041.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000042.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000042.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000043.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000043.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000044.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000044.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000045.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000045.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000046.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000046.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000047.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000047.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000048.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000048.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000049.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000049.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000050.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000050.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000051.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000051.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000052.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000052.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000053.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000053.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000054.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000054.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000055.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000055.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000056.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000056.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000057.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000057.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000058.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000058.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000059.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000059.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000060.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000060.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000061.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000061.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000062.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000062.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000063.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000063.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000064.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000064.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000065.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000065.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000066.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000066.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000067.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000067.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000068.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000068.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000069.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000069.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000070.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000070.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000071.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000071.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000072.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000072.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000073.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000073.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000074.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000074.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000075.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000075.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000076.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000076.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000077.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000077.png
train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000078.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000078.png
